Age: Adult -> Stamina: Bad Stamina  AND  Strength: Bad Strength;Q;T_ALL;T1;T2;T3;T4;T5;T6;T7;T8;T9;T10;T11;
Less than 1000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Less than 1000;0,862690236708658;1;0;0,0257513914656772;0,000663134162418551;0,5;0,94483367352568;0,696861036023611;0,998706234964466;0,256633750758537;0,999558669388205;1;
Less than a third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Less than a third;0,852739395422179;1;0;0,0257513914656772;0,000663134162418551;0,5;0,64;0,67;0,998706234964466;0,256633750758537;0,999558669388205;1;
No of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;No;0,80286278018099;0,909461978226872;0;0,0257513914656772;0,000663134162418551;0,5;0,84;0,92;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 1500 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around 1500;0,17294289848391;0;0;0,0257513914656772;0,000663134162418551;0,5;0,988966734705136;0,994483367352568;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 3000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around 3000;0,17294289848391;0;0;0,0257513914656772;0,000663134162418551;0,5;0,988966734705136;0,994483367352568;0,998706234964466;0,256633750758537;0,999558669388205;1;
More than 5000 of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;More than 5000;0,171792680576921;0;0;0,0257513914656772;0,000663134162418551;0,5;0,97241683676284;0,972692668395212;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 20% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around 20%;0,168039395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,88;0,94;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around 40% of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around 40%;0,168039395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,88;0,94;0,998706234964466;0,256633750758537;0,999558669388205;1;
Majority of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Majority;0,166689395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,85;0,925;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around one third of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around one third;0,166239395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,84;0,92;0,998706234964466;0,256633750758537;0,999558669388205;1;
All of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;All;0,165189395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,85;0,875;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around half of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around half;0,164439395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,8;0,9;0,998706234964466;0,256633750758537;0,999558669388205;1;
Around three quaters of soccer players being/having Age: Adult are/have Stamina: Bad Stamina AND Strength: Bad Strength;Around three quaters;0,164439395422179;0;0;0,0257513914656772;0,000663134162418551;0,5;0,8;0,9;0,998706234964466;0,256633750758537;0,999558669388205;1;
